,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
2458,Donyell Malen,nl NED,"FW,MF",26-136,6.8,3,19,6,31.6,2.79,0.88,0.16,0.5,14.2,0,0,0,2.9,2.9,0.15,0.1,0.1,Matches,Dortmund,Bundesliga
2459,Salih Özcan,tr TUR,MF,27-134,4.3,0,4,0,0.0,0.92,0.0,0.0,,13.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Dortmund,Bundesliga
2460,Gio Reyna,us USA,MF,22-193,3.9,2,3,2,66.7,0.77,0.51,0.67,1.0,18.3,0,0,0,0.2,0.2,0.06,1.8,1.8,Matches,Dortmund,Bundesliga
2461,Julien Duranville,be BEL,"FW,MF",19-020,3.1,0,5,2,40.0,1.59,0.64,0.0,0.0,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Dortmund,Bundesliga
2462,Alexander Meyer,de GER,GK,34-042,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2463,Carney Chukwuemeka,eng ENG,MF,21-217,2.8,1,8,2,25.0,2.85,0.71,0.13,0.5,17.2,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches,Dortmund,Bundesliga
2464,Almugera Kabar,de GER,DF,18-353,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2465,Yannik Lührs,de GER,DF,21-258,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2466,Ayman Azhil,ma MAR,MF,24-045,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2467,Cole Campbell,us USA,"MF,FW",19-094,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2468,Kjell-Arik Wätjen,de GER,MF,19-098,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Dortmund,Bundesliga
2469,Arthur Theate,be BEL,DF,25-000,30.0,0,36,9,25.0,1.2,0.3,0.0,0.0,19.2,1,0,0,2.4,2.4,0.07,-2.4,-2.4,Matches,Eintracht-Frankfurt,Bundesliga
2470,Hugo Ekitike,fr FRA,FW,22-339,28.5,15,114,44,38.6,4.0,1.55,0.12,0.32,15.3,1,1,3,21.6,19.3,0.17,-6.6,-5.3,Matches,Eintracht-Frankfurt,Bundesliga
2471,Robin Koch,de GER,DF,28-312,28.7,3,15,6,40.0,0.52,0.21,0.2,0.5,17.6,2,0,0,1.7,1.7,0.12,1.3,1.3,Matches,Eintracht-Frankfurt,Bundesliga
2472,Rasmus Kristensen,dk DEN,DF,27-318,27.9,5,24,8,33.3,0.86,0.29,0.21,0.63,13.7,0,0,0,2.5,2.5,0.1,2.5,2.5,Matches,Eintracht-Frankfurt,Bundesliga
2473,Hugo Larsson,se SWE,MF,20-332,26.6,3,21,10,47.6,0.79,0.38,0.14,0.3,16.4,0,0,0,3.1,3.1,0.15,-0.1,-0.1,Matches,Eintracht-Frankfurt,Bundesliga
2474,Kevin Trapp,de GER,GK,34-321,25.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
2475,Tuta,br BRA,"DF,MF",25-325,25.3,2,13,5,38.5,0.51,0.2,0.15,0.4,12.1,0,0,0,1.1,1.1,0.08,0.9,0.9,Matches,Eintracht-Frankfurt,Bundesliga
2476,Ellyes Skhiri,tn TUN,MF,30-015,24.8,1,13,2,15.4,0.52,0.08,0.08,0.5,16.8,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches,Eintracht-Frankfurt,Bundesliga
2477,Nathaniel Brown,de GER,"DF,MF",21-343,21.6,3,13,5,38.5,0.6,0.23,0.23,0.6,15.4,0,0,0,2.2,2.2,0.17,0.8,0.8,Matches,Eintracht-Frankfurt,Bundesliga
2478,Ansgar Knauff,de GER,"MF,DF",23-135,17.7,4,30,9,30.0,1.69,0.51,0.13,0.44,15.1,0,0,0,4.9,4.9,0.16,-0.9,-0.9,Matches,Eintracht-Frankfurt,Bundesliga
2479,Mario Götze,de GER,"MF,FW",32-356,17.1,3,8,5,62.5,0.47,0.29,0.38,0.6,10.1,0,0,0,2.9,2.9,0.37,0.1,0.1,Matches,Eintracht-Frankfurt,Bundesliga
2480,Omar Marmoush,eg EGY,FW,26-107,16.1,15,75,34,45.3,4.66,2.11,0.17,0.38,18.1,6,2,2,8.8,7.3,0.1,6.2,5.7,Matches,Eintracht-Frankfurt,Bundesliga
2481,Nnamdi Collins,de GER,DF,21-135,16.5,1,5,2,40.0,0.3,0.12,0.2,0.5,15.1,0,0,0,0.8,0.8,0.16,0.2,0.2,Matches,Eintracht-Frankfurt,Bundesliga
2482,Fares Chaïbi,dz ALG,"MF,FW",22-178,11.3,1,25,6,24.0,2.22,0.53,0.04,0.17,18.4,2,0,0,2.6,2.6,0.1,-1.6,-1.6,Matches,Eintracht-Frankfurt,Bundesliga
2483,Jean Mattéo Bahoya,fr FRA,"MF,FW",20-018,10.2,2,10,3,30.0,0.98,0.29,0.2,0.67,17.1,0,0,0,1.9,1.9,0.19,0.1,0.1,Matches,Eintracht-Frankfurt,Bundesliga
2484,Kauã Santos,br BRA,GK,22-044,8.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
2485,Oscar Højlund,dk DEN,MF,20-141,8.0,1,6,2,33.3,0.75,0.25,0.17,0.5,17.5,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
2486,Can Uzun,tr TUR,"MF,FW",19-195,7.5,4,27,11,40.7,3.6,1.47,0.15,0.36,16.3,0,0,0,3.0,3.0,0.11,1.0,1.0,Matches,Eintracht-Frankfurt,Bundesliga
2487,Niels Nkounkou,fr FRA,"DF,MF",24-205,4.2,0,4,0,0.0,0.94,0.0,0.0,,22.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Eintracht-Frankfurt,Bundesliga
2488,Mahmoud Dahoud,de GER,MF,29-144,4.0,1,7,2,28.6,1.73,0.49,0.14,0.5,22.6,1,0,0,0.5,0.5,0.08,0.5,0.5,Matches,Eintracht-Frankfurt,Bundesliga
2489,Michy Batshuayi,be BEL,FW,31-235,3.3,3,5,3,60.0,1.5,0.9,0.6,1.0,11.3,0,0,0,1.2,1.2,0.24,1.8,1.8,Matches,Eintracht-Frankfurt,Bundesliga
2490,Junior Dina Ebimbe,fr FRA,"MF,FW",24-185,3.3,0,8,0,0.0,2.46,0.0,0.0,,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,Eintracht-Frankfurt,Bundesliga
2491,Igor Matanovic,hr CRO,FW,22-055,3.5,1,12,4,33.3,3.46,1.15,0.08,0.25,14.1,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches,Eintracht-Frankfurt,Bundesliga
2492,Elye Wahi,fr FRA,"FW,MF",22-143,2.2,0,9,2,22.2,4.13,0.92,0.0,0.0,17.8,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches,Eintracht-Frankfurt,Bundesliga
2493,Aurele Amenda,ch SUI,DF,21-298,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
2494,Timothy Chandler,us USA,DF,35-057,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Eintracht-Frankfurt,Bundesliga
2495,Ritsu Doan,jp JPN,"FW,MF",26-344,31.8,10,61,21,34.4,1.92,0.66,0.16,0.48,16.7,1,0,0,6.6,6.6,0.12,3.4,3.4,Matches,Freiburg,Bundesliga
2496,Maximilian Eggestein,de GER,MF,28-169,31.6,2,36,10,27.8,1.14,0.32,0.06,0.2,19.4,0,0,0,2.0,2.0,0.05,0.0,0.0,Matches,Freiburg,Bundesliga
2497,Philipp Lienhart,at AUT,DF,28-319,30.8,1,8,1,12.5,0.26,0.03,0.13,1.0,13.8,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Freiburg,Bundesliga
2498,Vincenzo Grifo,it ITA,"FW,MF",32-049,27.0,8,63,26,41.3,2.33,0.96,0.13,0.31,20.8,10,0,3,7.9,5.6,0.09,0.1,2.4,Matches,Freiburg,Bundesliga
2499,Matthias Ginter,de GER,DF,31-127,28.5,2,24,4,16.7,0.84,0.14,0.08,0.5,11.1,0,0,0,2.8,2.8,0.12,-0.8,-0.8,Matches,Freiburg,Bundesliga
2500,Christian Günter,de GER,DF,32-087,25.7,2,21,6,28.6,0.82,0.23,0.1,0.33,22.4,1,0,0,0.8,0.6,0.03,1.2,1.4,Matches,Freiburg,Bundesliga
2501,Patrick Osterhage,de GER,MF,25-114,25.2,1,21,3,14.3,0.83,0.12,0.05,0.33,20.0,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,Freiburg,Bundesliga
2502,Noah Atubolu,de GER,GK,23-001,25.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Freiburg,Bundesliga
2503,Lukas Kübler,de GER,DF,32-269,20.5,5,18,10,55.6,0.88,0.49,0.28,0.5,15.9,0,0,0,2.7,2.7,0.15,2.3,2.3,Matches,Freiburg,Bundesliga
2504,Lucas Höler,de GER,"FW,MF",30-320,20.7,6,34,17,50.0,1.64,0.82,0.18,0.35,10.8,0,0,1,7.7,6.9,0.21,-1.7,-0.9,Matches,Freiburg,Bundesliga
2505,Junior Adamu,at AUT,FW,23-354,17.2,2,36,11,30.6,2.1,0.64,0.06,0.18,12.4,0,0,0,5.5,5.5,0.16,-3.5,-3.5,Matches,Freiburg,Bundesliga
2506,Max Rosenfelder,de GER,DF,22-105,13.9,1,5,1,20.0,0.36,0.07,0.2,1.0,12.3,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,Freiburg,Bundesliga
2507,Eren Dinkçi,de GER,"MF,FW",23-164,13.3,0,14,3,21.4,1.05,0.23,0.0,0.0,19.0,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,Freiburg,Bundesliga
2508,Merlin Röhl,de GER,"MF,FW",22-325,10.7,0,12,3,25.0,1.12,0.28,0.0,0.0,18.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,Freiburg,Bundesliga
2509,Kiliann Sildillia,fr FRA,DF,23-010,8.9,2,7,2,28.6,0.79,0.22,0.29,1.0,20.2,0,0,0,0.5,0.5,0.07,1.5,1.5,Matches,Freiburg,Bundesliga
2510,Florian Müller,de GER,GK,27-194,8.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Freiburg,Bundesliga
2511,Nicolas Höfler,de GER,MF,35-078,8.8,0,4,0,0.0,0.45,0.0,0.0,,18.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Freiburg,Bundesliga
2512,Jordy Makengo,fr FRA,DF,23-296,8.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Freiburg,Bundesliga
2513,Michael Gregoritsch,at AUT,FW,31-038,7.1,2,16,6,37.5,2.25,0.85,0.13,0.33,13.9,2,0,0,1.8,1.8,0.11,0.2,0.2,Matches,Freiburg,Bundesliga
2514,Johan Manzambi,ch SUI,"FW,MF",19-224,3.7,2,11,3,27.3,2.96,0.81,0.18,0.67,16.4,0,0,0,1.3,1.3,0.12,0.7,0.7,Matches,Freiburg,Bundesliga
2515,Jan-Niklas Beste,de GER,"FW,MF",26-142,2.4,0,6,2,33.3,2.55,0.85,0.0,0.0,17.6,1,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches,Freiburg,Bundesliga
2516,Florent Muslija,xk KVX,"FW,MF",26-324,1.9,0,3,2,66.7,1.61,1.07,0.0,0.0,20.9,1,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,Freiburg,Bundesliga
2517,Noah Weißhaupt,de GER,FW,23-248,0.9,0,1,0,0.0,1.13,0.0,0.0,,8.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Freiburg,Bundesliga
2518,Roland Sallai,hu HUN,"FW,MF",28-004,0.5,0,3,1,33.3,5.87,1.96,0.0,0.0,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Freiburg,Bundesliga
2519,Ifechukwu Ogbus,ch SUI,DF,19-160,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Freiburg,Bundesliga
2520,Maximilian Philipp,de GER,"MF,FW",31-086,0.2,0,1,0,0.0,5.29,0.0,0.0,,21.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Freiburg,Bundesliga
2521,Julian Weigl,de GER,MF,29-259,32.0,0,19,6,31.6,0.59,0.19,0.0,0.0,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,Monchengladbach,Bundesliga
2522,Ko Itakura,jp JPN,DF,28-118,31.0,3,21,7,33.3,0.68,0.23,0.14,0.43,13.4,0,0,0,1.6,1.6,0.08,1.4,1.4,Matches,Monchengladbach,Bundesliga
2523,Tim Kleindienst,de GER,FW,29-267,30.4,16,73,36,49.3,2.4,1.18,0.21,0.42,12.9,0,1,2,13.6,11.9,0.16,2.4,3.1,Matches,Monchengladbach,Bundesliga
2524,Joe Scally,us USA,DF,22-145,28.6,0,6,1,16.7,0.21,0.03,0.0,0.0,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Monchengladbach,Bundesliga
2525,Robin Hack,de GER,"FW,MF",26-271,24.1,4,59,24,40.7,2.44,0.99,0.07,0.17,19.9,0,0,0,5.4,5.4,0.09,-1.4,-1.4,Matches,Monchengladbach,Bundesliga
2526,Nico Elvedi,ch SUI,DF,28-237,23.7,1,12,3,25.0,0.51,0.13,0.08,0.33,8.3,0,0,0,2.0,2.0,0.18,-1.0,-1.0,Matches,Monchengladbach,Bundesliga
2527,Lukas Ullrich,de GER,DF,21-070,21.1,1,8,2,25.0,0.38,0.09,0.13,0.5,13.2,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches,Monchengladbach,Bundesliga
2528,Alassane Pléa,fr FRA,"MF,FW",32-076,21.1,11,41,12,29.3,1.94,0.57,0.24,0.83,15.2,1,1,1,7.4,6.6,0.16,3.6,3.4,Matches,Monchengladbach,Bundesliga
2529,Rocco Reitz,de GER,MF,22-361,20.3,2,23,7,30.4,1.13,0.34,0.09,0.29,16.8,0,0,0,1.7,1.7,0.07,0.3,0.3,Matches,Monchengladbach,Bundesliga
2530,Moritz Nicolas,de GER,GK,27-216,18.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2531,Franck Honorat,fr FRA,FW,28-287,16.0,4,31,9,29.0,1.94,0.56,0.13,0.44,15.2,0,0,0,4.5,4.5,0.15,-0.5,-0.5,Matches,Monchengladbach,Bundesliga
2532,Kevin Stöger,at AUT,MF,31-271,17.2,3,24,9,37.5,1.39,0.52,0.04,0.11,24.2,4,2,2,3.9,2.3,0.1,-0.9,-1.3,Matches,Monchengladbach,Bundesliga
2533,Philipp Sander,de GER,MF,27-093,15.6,1,18,7,38.9,1.16,0.45,0.06,0.14,21.1,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,Monchengladbach,Bundesliga
2534,Jonas Omlin,ch SUI,GK,31-135,10.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2535,Marvin Friedrich,de GER,DF,29-163,11.0,0,7,2,28.6,0.64,0.18,0.0,0.0,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Monchengladbach,Bundesliga
2536,Nathan N'Goumou,cm CMR,FW,25-072,9.2,2,24,13,54.2,2.61,1.41,0.08,0.15,15.4,0,0,0,1.9,1.9,0.08,0.1,0.1,Matches,Monchengladbach,Bundesliga
2537,Luca Netz,de GER,DF,22-010,10.8,0,3,0,0.0,0.28,0.0,0.0,,15.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,Monchengladbach,Bundesliga
2538,Tomáš Čvančara,cz CZE,FW,24-285,9.2,2,24,9,37.5,2.6,0.97,0.08,0.22,13.9,0,0,0,3.8,3.8,0.16,-1.8,-1.8,Matches,Monchengladbach,Bundesliga
2539,Stefan Lainer,at AUT,DF,32-271,8.4,1,4,1,25.0,0.48,0.12,0.25,1.0,14.9,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches,Monchengladbach,Bundesliga
2540,Tiago Cardoso,lu LUX,GK,19-048,4.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2541,Fabio Chiarodia,it ITA,DF,19-354,4.2,1,4,1,25.0,0.95,0.24,0.25,1.0,8.6,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches,Monchengladbach,Bundesliga
2542,Florian Neuhaus,de GER,MF,28-070,4.2,0,9,3,33.3,2.12,0.71,0.0,0.0,20.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,Monchengladbach,Bundesliga
2543,Shiō Fukuda,jp JPN,FW,21-047,0.7,1,3,1,33.3,4.5,1.5,0.33,1.0,14.1,0,0,0,0.4,0.4,0.14,0.6,0.6,Matches,Monchengladbach,Bundesliga
2544,Tobias Sippel,de GER,GK,37-064,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2545,Grant Ranos,am ARM,FW,21-309,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2546,Noah Pesch,hr CRO,FW,20-007,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Monchengladbach,Bundesliga
2547,Patrick Mainka,de GER,DF,30-200,34.0,1,25,8,32.0,0.74,0.24,0.04,0.13,14.1,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches,Heidenheim,Bundesliga
2548,Kevin Müller,de GER,GK,34-071,32.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Heidenheim,Bundesliga
2549,Jan Schöppner,de GER,MF,25-347,29.8,4,41,13,31.7,1.38,0.44,0.1,0.31,15.9,0,0,0,3.9,3.9,0.09,0.1,0.1,Matches,Heidenheim,Bundesliga
2550,Benedikt Gimber,de GER,DF,28-095,29.7,0,14,1,7.1,0.47,0.03,0.0,0.0,15.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Heidenheim,Bundesliga
2551,Omar Traoré,de GER,DF,27-110,29.1,0,16,3,18.8,0.55,0.1,0.0,0.0,24.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Heidenheim,Bundesliga
2552,Marvin Pieringer,de GER,"FW,MF",25-233,24.5,7,57,17,29.8,2.33,0.69,0.07,0.24,15.1,1,3,3,8.9,6.6,0.12,-1.9,-2.6,Matches,Heidenheim,Bundesliga
2553,Jonas Föhrenbach,de GER,DF,29-119,20.4,0,8,1,12.5,0.39,0.05,0.0,0.0,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Heidenheim,Bundesliga
2554,Paul Wanner,de GER,"MF,FW",19-153,19.7,3,24,5,20.8,1.22,0.25,0.08,0.4,18.2,3,1,1,3.7,2.9,0.12,-0.7,-0.9,Matches,Heidenheim,Bundesliga
2555,Niklas Dorsch,de GER,MF,27-130,14.8,2,9,3,33.3,0.61,0.2,0.22,0.67,23.0,2,0,0,1.0,1.0,0.11,1.0,1.0,Matches,Heidenheim,Bundesliga
2556,Adrian Beck,de GER,"MF,FW",27-350,17.8,4,39,13,33.3,2.2,0.73,0.1,0.31,17.8,0,0,0,3.3,3.3,0.08,0.7,0.7,Matches,Heidenheim,Bundesliga
2557,Marnon Busch,de GER,"DF,MF",30-168,15.5,0,13,3,23.1,0.84,0.19,0.0,0.0,26.8,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Heidenheim,Bundesliga
2558,Frans Krätzig,de GER,"DF,MF",22-131,13.5,1,9,3,33.3,0.67,0.22,0.11,0.33,17.4,0,0,0,0.6,0.6,0.07,0.4,0.4,Matches,Heidenheim,Bundesliga
2559,Tim Siersleben,de GER,DF,25-077,13.1,0,4,2,50.0,0.3,0.15,0.0,0.0,8.6,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches,Heidenheim,Bundesliga
2560,Léo Scienza,br BRA,"FW,MF",26-254,12.8,3,38,15,39.5,2.97,1.17,0.08,0.2,21.7,4,0,0,2.0,2.0,0.05,1.0,1.0,Matches,Heidenheim,Bundesliga
2561,Mathias Honsak,at AUT,"FW,DF",28-156,13.1,5,29,10,34.5,2.21,0.76,0.17,0.5,17.1,1,0,0,3.3,3.3,0.12,1.7,1.7,Matches,Heidenheim,Bundesliga
2562,Budu Zivzivadze,ge GEO,FW,31-076,10.6,2,22,9,40.9,2.07,0.85,0.09,0.22,14.3,0,0,0,1.7,1.7,0.08,0.3,0.3,Matches,Heidenheim,Bundesliga
2563,Lennard Maloney,us USA,MF,25-229,8.4,0,3,0,0.0,0.36,0.0,0.0,,10.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Heidenheim,Bundesliga
2564,Luca Kerber,de GER,"MF,DF",23-076,8.7,2,7,5,71.4,0.8,0.57,0.29,0.4,12.0,0,0,0,0.6,0.6,0.09,1.4,1.4,Matches,Heidenheim,Bundesliga
2565,Sirlord Conteh,de GER,"FW,MF",28-320,9.9,1,13,5,38.5,1.31,0.5,0.08,0.2,15.0,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches,Heidenheim,Bundesliga
2566,Mikkel Kaufmann,dk DEN,FW,24-142,4.1,0,3,3,100.0,0.73,0.73,0.0,0.0,14.6,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches,Heidenheim,Bundesliga
2567,Maximilian Breunig,de GER,"FW,MF",24-284,3.9,2,10,2,20.0,2.57,0.51,0.1,0.5,15.2,0,1,1,3.4,2.7,0.27,-1.4,-1.7,Matches,Heidenheim,Bundesliga
2568,Thomas Keller,de GER,"DF,MF",25-293,1.6,0,1,0,0.0,0.61,0.0,0.0,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Heidenheim,Bundesliga
2569,Frank Feller,de GER,GK,21-138,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Heidenheim,Bundesliga
2570,Stefan Schimmer,de GER,"FW,MF",31-027,2.7,0,10,2,20.0,3.64,0.73,0.0,0.0,14.4,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches,Heidenheim,Bundesliga
2571,Julian Niehues,de GER,MF,24-038,1.7,0,2,1,50.0,1.17,0.58,0.0,0.0,13.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,Heidenheim,Bundesliga
2572,Norman Theuerkauf,de GER,MF,38-121,0.2,0,1,0,0.0,4.09,0.0,0.0,,9.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Heidenheim,Bundesliga
2573,Denis Thomalla,de GER,MF,32-282,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Heidenheim,Bundesliga
2574,Andrej Kramarić,hr CRO,"MF,FW",33-341,30.7,11,66,23,34.8,2.15,0.75,0.12,0.35,15.8,2,3,3,11.8,9.5,0.15,-0.8,-1.5,Matches,Hoffenheim,Bundesliga
2575,Tom Bischof,de GER,"MF,FW",19-332,28.4,5,51,18,35.3,1.79,0.63,0.1,0.28,23.1,5,0,0,2.2,2.2,0.04,2.8,2.8,Matches,Hoffenheim,Bundesliga
2576,Anton Stach,de GER,"MF,DF",26-192,28.7,1,35,10,28.6,1.22,0.35,0.03,0.1,21.3,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches,Hoffenheim,Bundesliga
2577,Oliver Baumann,de GER,GK,34-358,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Hoffenheim,Bundesliga
2578,Arthur Chaves,br BRA,DF,24-117,24.3,1,10,2,20.0,0.41,0.08,0.1,0.5,12.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches,Hoffenheim,Bundesliga
2579,Kevin Akpoguma,ng NGA,DF,30-037,24.7,0,5,1,20.0,0.2,0.04,0.0,0.0,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Hoffenheim,Bundesliga
2580,Adam Hložek,cz CZE,"FW,MF",22-305,20.8,8,59,24,40.7,2.84,1.15,0.14,0.33,17.3,1,0,0,5.6,5.6,0.1,2.4,2.4,Matches,Hoffenheim,Bundesliga
2581,Marius Bülter,de GER,"FW,DF",32-058,19.2,7,37,15,40.5,1.93,0.78,0.19,0.47,16.2,0,0,0,3.7,3.7,0.1,3.3,3.3,Matches,Hoffenheim,Bundesliga
2582,Alexander Prass,at AUT,DF,24-000,17.4,0,12,1,8.3,0.69,0.06,0.0,0.0,18.6,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,Hoffenheim,Bundesliga
2583,Pavel Kadeřábek,cz CZE,DF,33-031,17.5,2,14,3,21.4,0.8,0.17,0.14,0.67,14.8,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches,Hoffenheim,Bundesliga
2584,Stanley N'Soki,fr FRA,DF,26-047,14.5,0,3,1,33.3,0.21,0.07,0.0,0.0,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Hoffenheim,Bundesliga
2585,Valentin Gendrey,fr FRA,DF,24-339,15.7,1,10,5,50.0,0.64,0.32,0.1,0.2,19.1,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,Hoffenheim,Bundesliga
2586,Leo Skiri Østigård,no NOR,DF,25-179,10.3,0,5,0,0.0,0.49,0.0,0.0,,9.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Hoffenheim,Bundesliga
2587,Florian Grillitsch,at AUT,MF,29-292,6.7,0,6,1,16.7,0.9,0.15,0.0,0.0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Hoffenheim,Bundesliga
2588,Dennis Geiger,de GER,"MF,FW",26-350,8.2,0,5,1,20.0,0.61,0.12,0.0,0.0,24.2,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Hoffenheim,Bundesliga
2589,Gift Orban,ng NGA,FW,22-313,7.6,4,11,4,36.4,1.44,0.52,0.36,1.0,17.4,0,0,0,3.4,3.4,0.31,0.6,0.6,Matches,Hoffenheim,Bundesliga
2590,Finn Ole Becker,de GER,MF,24-352,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Hoffenheim,Bundesliga
2591,Bazoumana Touré,ci CIV,"FW,MF",19-085,6.8,0,19,5,26.3,2.81,0.74,0.0,0.0,17.6,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches,Hoffenheim,Bundesliga
2592,Haris Tabakovic,ba BIH,FW,30-340,9.1,3,30,10,33.3,3.29,1.1,0.1,0.3,11.2,0,0,0,3.3,3.3,0.11,-0.3,-0.3,Matches,Hoffenheim,Bundesliga
